category,method,seed,aggregation_rule,image_auroc,image_ap
hazelnut,autoencoder,42,gaussian_pooled_max,0.7689285714285714,0.8647397948399187
hazelnut,padim,123,global_max,0.8403571428571428,0.8607591190255458
hazelnut,padim,123,percentile_99,0.8403571428571428,0.8591134607622405
hazelnut,padim,123,percentile_95,0.8403571428571429,0.8591255358830063
hazelnut,padim,123,top_1_percent_mean,0.84,0.8583781666445934
hazelnut,padim,123,gaussian_pooled_max,0.8417857142857142,0.8621357108735919
hazelnut,padim,2026,global_max,0.84,0.8583781666445934
hazelnut,padim,2026,percentile_99,0.8403571428571428,0.8593854926519195
hazelnut,padim,2026,percentile_95,0.8403571428571429,0.8582435553209578
hazelnut,padim,2026,top_1_percent_mean,0.8403571428571428,0.8593854926519195
hazelnut,padim,2026,gaussian_pooled_max,0.8425,0.8569287638432653
hazelnut,padim,42,global_max,0.8407142857142857,0.8617664450328719
hazelnut,padim,42,percentile_99,0.84,0.8583781666445934
hazelnut,padim,42,percentile_95,0.8414285714285714,0.8631032429099175
hazelnut,padim,42,top_1_percent_mean,0.8407142857142857,0.8617664450328719
hazelnut,padim,42,gaussian_pooled_max,0.8428571428571429,0.8609538011317526
hazelnut,patchcore,123,global_max,0.9996428571428572,0.999798792756539
hazelnut,patchcore,123,percentile_99,0.9996428571428572,0.999798792756539
hazelnut,patchcore,123,percentile_95,0.9996428571428572,0.999798792756539
hazelnut,patchcore,123,top_1_percent_mean,0.9996428571428572,0.999798792756539
hazelnut,patchcore,123,gaussian_pooled_max,0.9996428571428572,0.999798792756539
hazelnut,patchcore,2026,global_max,0.9996428571428572,0.999798792756539
hazelnut,patchcore,2026,percentile_99,0.9996428571428572,0.999798792756539
hazelnut,patchcore,2026,percentile_95,0.9996428571428572,0.999798792756539
hazelnut,patchcore,2026,top_1_percent_mean,0.9996428571428572,0.999798792756539
hazelnut,patchcore,2026,gaussian_pooled_max,0.9996428571428572,0.999798792756539
hazelnut,patchcore,42,global_max,0.9996428571428572,0.999798792756539
hazelnut,patchcore,42,percentile_99,0.9996428571428572,0.999798792756539
hazelnut,patchcore,42,percentile_95,0.9996428571428572,0.999798792756539
hazelnut,patchcore,42,top_1_percent_mean,0.9996428571428572,0.999798792756539
hazelnut,patchcore,42,gaussian_pooled_max,0.9996428571428572,0.999798792756539
metal_nut,autoencoder,123,global_max,0.2981427174975562,0.6951006420560956
metal_nut,autoencoder,123,percentile_99,0.2986314760508309,0.6951902477908627
metal_nut,autoencoder,123,percentile_95,0.29765395894428154,0.6949452035366017
metal_nut,autoencoder,123,top_1_percent_mean,0.2986314760508309,0.6951902477908627
metal_nut,autoencoder,123,gaussian_pooled_max,0.2991202346041056,0.6956751076762571
metal_nut,autoencoder,2026,global_max,0.30107526881720426,0.6954867952323931
metal_nut,autoencoder,2026,percentile_99,0.30156402737047894,0.6956724647729013
metal_nut,autoencoder,2026,percentile_95,0.30254154447702836,0.6957556220054251
metal_nut,autoencoder,2026,top_1_percent_mean,0.30107526881720426,0.6954867952323931
metal_nut,autoencoder,2026,gaussian_pooled_max,0.29814271749755616,0.6938917018874836
metal_nut,autoencoder,42,global_max,0.28347996089931576,0.6919371125291777
metal_nut,autoencoder,42,percentile_99,0.2839687194525904,0.6922525212152509
metal_nut,autoencoder,42,percentile_95,0.2829912023460411,0.691265422426108
metal_nut,autoencoder,42,top_1_percent_mean,0.2844574780058651,0.692339619573051
metal_nut,autoencoder,42,gaussian_pooled_max,0.28396871945259045,0.6913021847403621
metal_nut,padim,123,global_max,0.9711632453567937,0.9919883759664878
metal_nut,padim,123,percentile_99,0.9716520039100683,0.9920979498325189
metal_nut,padim,123,percentile_95,0.9716520039100683,0.9920979498325189
metal_nut,padim,123,top_1_percent_mean,0.9716520039100683,0.9920979498325189
metal_nut,padim,123,gaussian_pooled_max,0.9701857282502443,0.9915737880925488
metal_nut,padim,2026,global_max,0.9711632453567937,0.9919883759664878
metal_nut,padim,2026,percentile_99,0.9711632453567937,0.9919883759664878
metal_nut,padim,2026,percentile_95,0.9716520039100683,0.9921838793877977
metal_nut,padim,2026,top_1_percent_mean,0.9711632453567937,0.9919883759664878
metal_nut,padim,2026,gaussian_pooled_max,0.9716520039100685,0.9920854444968703
metal_nut,padim,42,global_max,0.9711632453567937,0.9919883759664878
metal_nut,padim,42,percentile_99,0.9711632453567937,0.9919883759664878
metal_nut,padim,42,percentile_95,0.9726295210166177,0.9924053835470861
metal_nut,padim,42,top_1_percent_mean,0.9711632453567937,0.9919883759664878
metal_nut,padim,42,gaussian_pooled_max,0.9721407624633431,0.992323750853336
metal_nut,patchcore,123,global_max,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,123,percentile_99,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,123,percentile_95,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,123,top_1_percent_mean,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,123,gaussian_pooled_max,0.9975562072336266,0.99943148114635
metal_nut,patchcore,2026,global_max,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,2026,percentile_99,0.9975562072336266,0.99943148114635
metal_nut,patchcore,2026,percentile_95,0.9975562072336266,0.99943148114635
metal_nut,patchcore,2026,top_1_percent_mean,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,2026,gaussian_pooled_max,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,42,global_max,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,42,percentile_99,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,42,percentile_95,0.9975562072336266,0.99943148114635
metal_nut,patchcore,42,top_1_percent_mean,0.9980449657869013,0.9995483581916984
metal_nut,patchcore,42,gaussian_pooled_max,0.998533724340176,0.9996639784946235
