category,method,seed,cost_ratio,image_auroc,cwe,total_flips,total_flip_rate,nominal_relief_count,nominal_relief_rate,defect_escape_count,defect_escape_rate,defect_catch_count,defect_catch_rate,tau_99,tau_cct
carpet,padim,123,20.0,0.963884430176565,3.076923076923077,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097465515137,11.88878059387207
carpet,padim,123,50.0,0.963884430176565,7.6923076923076925,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097465515137,11.88878059387207
carpet,padim,2026,5.0,0.963884430176565,0.7692307692307693,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.88878059387207
carpet,padim,2026,10.0,0.963884430176565,1.5384615384615385,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.88878059387207
carpet,padim,2026,20.0,0.963884430176565,3.076923076923077,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.88878059387207
carpet,padim,2026,50.0,0.963884430176565,7.6923076923076925,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.88878059387207
carpet,padim,42,5.0,0.963884430176565,0.7692307692307693,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.888781547546387
carpet,padim,42,10.0,0.963884430176565,1.5384615384615385,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.888781547546387
carpet,padim,42,20.0,0.963884430176565,3.076923076923077,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.888781547546387
carpet,padim,42,50.0,0.963884430176565,7.6923076923076925,2,0.017094017094017096,1,0.03571428571428571,1,0.011235955056179775,0,0.0,11.630097026824952,11.888781547546387
carpet,patchcore,123,5.0,0.9839486356340289,0.17094017094017094,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041877841949463,1.3121007680892944
carpet,patchcore,123,10.0,0.9839486356340289,0.3418803418803419,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041877841949463,1.3121007680892944
carpet,patchcore,123,20.0,0.9839486356340289,0.6837606837606838,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041877841949463,1.3121007680892944
carpet,patchcore,123,50.0,0.9839486356340289,1.7094017094017093,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041877841949463,1.3121007680892944
carpet,patchcore,2026,5.0,0.9839486356340289,0.17094017094017094,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
carpet,patchcore,2026,10.0,0.9839486356340289,0.3418803418803419,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
carpet,patchcore,2026,20.0,0.9839486356340289,0.6837606837606838,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
carpet,patchcore,2026,50.0,0.9839486356340289,1.7094017094017093,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
carpet,patchcore,42,5.0,0.9839486356340289,0.17094017094017094,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
carpet,patchcore,42,10.0,0.9839486356340289,0.3418803418803419,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
carpet,patchcore,42,20.0,0.9839486356340289,0.6837606837606838,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
carpet,patchcore,42,50.0,0.9839486356340289,1.7094017094017093,1,0.008547008547008548,1,0.03571428571428571,0,0.0,0,0.0,1.3041857886314392,1.3121007680892944
grid,autoencoder,123,5.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020408676266670228,0.02590093994513154
grid,autoencoder,123,10.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020408676266670228,0.02590093994513154
grid,autoencoder,123,20.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020408676266670228,0.02590093994513154
grid,autoencoder,123,50.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020408676266670228,0.02590093994513154
grid,autoencoder,2026,5.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020640773032791913,0.027248654048889875
grid,autoencoder,2026,10.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020640773032791913,0.027248654048889875
grid,autoencoder,2026,20.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020640773032791913,0.027248654048889875
grid,autoencoder,2026,50.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020640773032791913,0.027248654048889875
grid,autoencoder,42,5.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020734151219949128,0.024948705453425646
grid,autoencoder,42,10.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020734151219949128,0.024948705453425646
grid,autoencoder,42,20.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020734151219949128,0.024948705453425646
grid,autoencoder,42,50.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,0.020734151219949128,0.024948705453425646
grid,padim,123,5.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,5.831062803268432,24.701988220214844
grid,padim,123,10.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,5.831062803268432,24.701988220214844
grid,padim,123,20.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,5.831062803268432,24.701988220214844
grid,padim,123,50.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,5.831062803268432,24.701988220214844
grid,padim,2026,5.0,1.0,0.0,1,0.009523809523809525,1,0.03333333333333333,0,0.0,0,0.0,5.831062803268432,24.701988220214844
